Squad,Playing Time MP_median,Playing Time MP_mean,Playing Time MP_std,Playing Time Starts_median,Playing Time Starts_mean,Playing Time Starts_std,Playing Time Min_median,Playing Time Min_mean,Playing Time Min_std,Playing Time 90s_median,Playing Time 90s_mean,Playing Time 90s_std,Performance Gls_median,Performance Gls_mean,Performance Gls_std,Performance Ast_median,Performance Ast_mean,Performance Ast_std,Performance G+A_median,Performance G+A_mean,Performance G+A_std,Performance G-PK_median,Performance G-PK_mean,Performance G-PK_std,Performance PK_median,Performance PK_mean,Performance PK_std,Performance PKatt_median,Performance PKatt_mean,Performance PKatt_std,Performance CrdY_median,Performance CrdY_mean,Performance CrdY_std,Performance CrdR_median,Performance CrdR_mean,Performance CrdR_std,Per 90 Minutes Gls_median,Per 90 Minutes Gls_mean,Per 90 Minutes Gls_std,Per 90 Minutes Ast_median,Per 90 Minutes Ast_mean,Per 90 Minutes Ast_std,Per 90 Minutes G+A_median,Per 90 Minutes G+A_mean,Per 90 Minutes G+A_std,Per 90 Minutes G-PK_median,Per 90 Minutes G-PK_mean,Per 90 Minutes G-PK_std,Per 90 Minutes G+A-PK_median,Per 90 Minutes G+A-PK_mean,Per 90 Minutes G+A-PK_std,Performance GA_median,Performance GA_mean,Performance GA_std,Performance GA90_median,Performance GA90_mean,Performance GA90_std,Performance SoTA_median,Performance SoTA_mean,Performance SoTA_std,Performance Saves_median,Performance Saves_mean,Performance Saves_std,Performance Save%_median,Performance Save%_mean,Performance Save%_std,Performance W_median,Performance W_mean,Performance W_std,Performance D_median,Performance D_mean,Performance D_std,Performance L_median,Performance L_mean,Performance L_std,Performance CS_median,Performance CS_mean,Performance CS_std,Performance CS%_median,Performance CS%_mean,Performance CS%_std,Penalty Kicks PKatt_median,Penalty Kicks PKatt_mean,Penalty Kicks PKatt_std,Penalty Kicks PKA_median,Penalty Kicks PKA_mean,Penalty Kicks PKA_std,Penalty Kicks PKsv_median,Penalty Kicks PKsv_mean,Penalty Kicks PKsv_std,Penalty Kicks PKm_median,Penalty Kicks PKm_mean,Penalty Kicks PKm_std,Penalty Kicks Save%_median,Penalty Kicks Save%_mean,Penalty Kicks Save%_std,Standard Sh_median,Standard Sh_mean,Standard Sh_std,Standard SoT_median,Standard SoT_mean,Standard SoT_std,Standard SoT%_median,Standard SoT%_mean,Standard SoT%_std,Standard Sh/90_median,Standard Sh/90_mean,Standard Sh/90_std,Standard SoT/90_median,Standard SoT/90_mean,Standard SoT/90_std,Standard G/Sh_median,Standard G/Sh_mean,Standard G/Sh_std,Standard G/SoT_median,Standard G/SoT_mean,Standard G/SoT_std,Playing Time Mn/MP_median,Playing Time Mn/MP_mean,Playing Time Mn/MP_std,Playing Time Min%_median,Playing Time Min%_mean,Playing Time Min%_std,Starts Mn/Start_median,Starts Mn/Start_mean,Starts Mn/Start_std,Starts Compl_median,Starts Compl_mean,Starts Compl_std,Subs Subs_median,Subs Subs_mean,Subs Subs_std,Subs Mn/Sub_median,Subs Mn/Sub_mean,Subs Mn/Sub_std,Subs unSub_median,Subs unSub_mean,Subs unSub_std,Team Success PPM_median,Team Success PPM_mean,Team Success PPM_std,Team Success onG_median,Team Success onG_mean,Team Success onG_std,Team Success onGA_median,Team Success onGA_mean,Team Success onGA_std,Team Success +/-_median,Team Success +/-_mean,Team Success +/-_std,Team Success +/-90_median,Team Success +/-90_mean,Team Success +/-90_std,Team Success On-Off_median,Team Success On-Off_mean,Team Success On-Off_std,Performance 2CrdY_median,Performance 2CrdY_mean,Performance 2CrdY_std,Performance Fls_median,Performance Fls_mean,Performance Fls_std,Performance Fld_median,Performance Fld_mean,Performance Fld_std,Performance Off_median,Performance Off_mean,Performance Off_std,Performance Crs_median,Performance Crs_mean,Performance Crs_std,Performance Int_median,Performance Int_mean,Performance Int_std,Performance TklW_median,Performance TklW_mean,Performance TklW_std,Performance PKwon_median,Performance PKwon_mean,Performance PKwon_std,Performance PKcon_median,Performance PKcon_mean,Performance PKcon_std,Performance OG_median,Performance OG_mean,Performance OG_std
Leeds United,26.5,24.8636,7.7232,19.0,18.0,10.9458,479.0,534.4286,313.4511,18.2,17.9591,10.2355,1.0,2.1364,3.2993,1.0,1.0909,1.306,2.0,3.2273,3.8289,1.0,1.8636,2.624,0.0,0.2727,0.9351,0.0,0.3636,1.2168,2.5,2.6818,2.2759,0.0,0.0455,0.2132,0.03,0.1109,0.1697,0.035,0.0618,0.0728,0.125,0.1727,0.1952,0.03,0.0959,0.1357,0.125,0.1582,0.1672,26.5,26.5,3.5355,1.505,1.505,0.4313,68.0,68.0,7.0711,44.5,44.5,9.1924,65.1,65.1,6.7882,5.0,5.0,1.4142,7.0,7.0,1.4142,6.0,6.0,0.0,3.5,3.5,0.7071,19.4,19.4,0.8485,3.0,3.0,1.4142,3.0,3.0,1.4142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,20.7273,17.6451,4.5,6.6818,7.6866,25.9,28.3,13.028,1.225,1.3627,1.0536,0.31,0.4055,0.3982,0.07,0.0684,0.0659,0.25,0.21,0.1788,65.0,60.4545,25.2996,50.65,49.8773,28.4235,84.0,79.2273,9.7635,11.0,11.0455,10.7326,6.5,6.8636,5.8821,19.0,18.1579,6.8008,5.0,6.3636,6.47,1.21,1.2168,0.1677,25.5,23.8182,14.5656,24.5,26.2273,13.5749,-3.5,-2.4091,5.2523,-0.17,-0.3573,0.7009,-0.17,-0.1141,1.0499,0.0,0.0455,0.2132,16.0,16.9545,13.9744,15.0,18.1364,15.2387,0.5,2.5455,5.3872,18.0,29.0909,34.7521,13.0,14.7727,13.2663,13.5,17.2273,14.9696,N/a,N/a,N/a,N/a,N/a,N/a,0.0,0.0455,0.2132
Liverpool,25.0,24.2273,9.8895,18.5,18.0,12.0317,469.0,505.625,276.3827,19.75,17.9864,11.379,2.0,2.6364,3.048,1.0,1.8636,1.8847,3.0,4.5,4.6265,2.0,2.5909,2.9866,0.0,0.0455,0.2132,0.0,0.0909,0.2942,1.5,2.4545,2.4049,0.0,0.0455,0.2132,0.08,0.155,0.1867,0.11,0.1345,0.1306,0.235,0.29,0.2608,0.08,0.1527,0.185,0.235,0.2882,0.2589,14.0,16.0,13.1149,1.62,1.5033,0.265,40.0,45.6667,35.8376,28.0,31.0,23.6432,67.5,67.8,1.2767,3.0,5.6667,6.4291,1.0,2.6667,3.7859,5.0,3.6667,2.3094,2.0,3.3333,4.1633,22.2,18.0667,16.3955,2.0,1.3333,1.1547,1.0,1.0,1.0,0.0,0.3333,0.5774,0.0,0.0,0.0,25.0,25.0,35.3553,13.5,24.8636,25.929,5.0,7.3636,7.4485,30.0,28.1368,12.5916,0.925,1.3845,1.237,0.32,0.4155,0.4022,0.1,0.0953,0.0742,0.33,0.3406,0.2417,69.0,62.9091,24.0177,54.9,49.9818,31.6054,81.5,79.3182,9.1879,7.5,11.5455,11.342,5.0,6.2273,6.3165,23.0,23.2353,9.1415,1.5,5.2727,7.1925,1.625,1.6186,0.2021,35.0,29.8636,17.6939,27.5,23.8636,14.2605,7.0,6.0,4.7409,0.35,0.4423,0.5287,0.19,0.0986,0.6864,0.0,0.0,0.0,14.0,16.6364,13.7583,16.0,16.6818,13.8371,0.5,3.2273,6.2254,15.0,32.3182,46.2029,7.0,10.6818,11.0772,11.0,13.5,10.9098,N/a,N/a,N/a,N/a,N/a,N/a,0.0,0.0,0.0
Manchester City,21.0,21.4167,10.1035,16.0,15.9167,10.236,468.0,502.6667,260.4966,15.45,15.8875,9.9446,1.0,2.9583,5.385,1.0,2.2917,2.9997,2.0,5.25,7.508,1.0,2.8333,4.8335,0.0,0.125,0.6124,0.0,0.1667,0.8165,2.0,2.5833,2.4833,0.0,0.0,0.0,0.065,0.1446,0.1967,0.125,0.1367,0.1543,0.195,0.2804,0.2971,0.065,0.1404,0.1823,0.195,0.2762,0.286,16.0,16.0,16.9706,1.09,1.09,0.3394,58.0,58.0,62.2254,42.0,42.0,43.8406,75.55,75.55,4.3134,11.5,11.5,14.8492,4.0,4.0,5.6569,2.5,2.5,0.7071,8.0,8.0,9.8995,39.4,39.4,8.6267,1.0,1.0,0.0,0.5,0.5,0.7071,0.5,0.5,0.7071,0.0,0.0,0.0,50.0,50.0,70.7107,12.5,22.7917,27.5602,3.0,8.0,12.2083,31.0,28.9476,15.7219,0.925,1.3512,1.1419,0.195,0.4608,0.5029,0.08,0.0867,0.0677,0.33,0.2855,0.1941,65.0,64.4167,18.6592,42.9,44.125,27.6276,83.0,81.5,6.1503,8.0,10.1667,9.1112,4.0,5.5,4.6062,19.0,20.25,7.2466,3.0,6.0833,7.6722,2.1,1.9771,0.4288,29.0,32.9167,22.8129,13.5,14.1667,8.6811,15.5,18.75,14.4771,1.13,0.9692,0.5295,-0.215,-0.1425,0.7627,0.0,0.0,0.0,15.0,14.25,11.3377,10.0,15.5833,13.6761,0.5,1.7083,2.1565,7.0,24.375,31.139,8.5,10.75,8.6841,9.5,13.0833,11.3441,N/a,N/a,N/a,N/a,N/a,N/a,0.0,0.0,0.0
Manchester Utd,25.0,24.0455,9.0263,15.5,18.0,10.3877,887.0,700.4286,308.5751,16.45,17.9318,9.4266,1.0,2.7273,3.744,1.0,1.9091,3.975,3.0,4.6364,6.5214,1.0,2.5455,3.5687,0.0,0.1818,0.8528,0.0,0.2727,1.2792,2.0,2.7727,2.6535,0.0,0.1364,0.3513,0.06,0.1345,0.1681,0.06,0.0818,0.1283,0.155,0.2164,0.2393,0.06,0.1286,0.1661,0.155,0.2109,0.2253,24.0,24.0,18.3848,1.53,1.53,0.4243,66.0,66.0,59.397,43.5,43.5,43.1335,61.8,61.8,10.748,9.0,9.0,9.8995,5.5,5.5,6.364,3.5,3.5,0.7071,3.5,3.5,4.9497,11.65,11.65,16.4756,2.0,2.0,2.8284,2.0,2.0,2.8284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N/a,13.0,25.0909,26.9212,3.5,9.0455,11.6025,27.8,25.82,16.2067,0.84,1.3073,1.08,0.22,0.435,0.5107,0.065,0.0695,0.066,0.275,0.2537,0.1752,68.0,64.9545,18.7984,45.6,49.8045,26.1952,83.0,82.619,5.835,10.5,11.5,7.9866,5.0,6.0455,5.3495,20.0,19.6471,6.5664,2.5,4.9545,7.4864,1.815,1.7764,0.2236,29.0,31.4091,18.9351,21.5,23.8182,12.1013,6.5,7.5909,9.1008,0.495,0.2936,0.4878,0.13,0.0895,0.9722,0.0,0.0455,0.2132,16.5,16.8636,12.151,13.5,17.1818,15.1269,0.5,2.3636,3.3459,8.5,27.7273,41.4156,11.0,13.1818,10.9572,14.5,17.5455,12.9605,N/a,N/a,N/a,N/a,N/a,N/a,0.0,0.0909,0.2942
Newcastle United,26.0,25.0909,6.1482,18.0,17.9545,7.3256,670.0,675.0,177.5528,17.85,17.9045,6.5292,1.0,2.2727,2.7976,1.0,1.3182,1.3588,2.5,3.5909,3.5678,1.0,2.0,2.3705,0.0,0.2727,0.7673,0.0,0.2727,0.7673,2.0,2.9091,2.8935,0.0,0.1364,0.3513,0.055,0.1327,0.1738,0.065,0.0709,0.0685,0.13,0.2045,0.1897,0.055,0.12,0.1625,0.13,0.1918,0.1744,26.0,26.0,12.7279,1.465,1.465,0.0778,74.5,74.5,51.6188,51.0,51.0,38.1838,66.75,66.75,5.0205,6.5,6.5,3.5355,3.5,3.5,2.1213,8.0,8.0,4.2426,4.0,4.0,4.2426,18.55,18.55,13.3643,2.5,2.5,0.7071,2.5,2.5,0.7071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.5,21.3182,15.4068,5.0,7.5909,6.5731,33.3,34.2619,20.3711,1.235,1.2545,0.839,0.31,0.4482,0.3733,0.07,0.0762,0.0729,0.25,0.2253,0.172,70.0,64.2273,17.883,49.55,49.7591,18.1672,82.5,80.9091,7.4188,11.0,10.5909,8.1571,4.5,7.1364,5.566,19.0,20.3333,6.6207,3.0,4.3636,5.224,1.26,1.2709,0.1784,24.0,24.7273,9.402,26.5,25.3636,9.7323,-1.0,-0.6364,4.7464,-0.065,-0.0509,0.2898,0.0,0.0105,0.5993,0.0,0.0909,0.2942,15.0,16.8182,11.7863,14.5,18.9545,16.1525,2.0,2.0909,1.9739,13.0,38.2273,40.2728,6.0,11.0,10.3372,12.0,14.5909,9.9984,N/a,N/a,N/a,N/a,N/a,N/a,0.0,0.0909,0.2942
Nottingham Forest,18.5,18.9643,11.4649,11.5,13.9643,11.8961,353.0,366.0769,196.0988,11.7,13.9714,11.374,0.5,1.5714,2.741,0.0,1.1071,1.4742,1.5,2.6786,3.8302,0.5,1.4643,2.5016,0.0,0.1071,0.315,0.0,0.1071,0.315,1.0,2.0,2.1943,0.0,0.0357,0.189,0.02,0.12,0.2095,0.0,0.0814,0.1107,0.16,0.2011,0.2453,0.02,0.1164,0.2074,0.15,0.1975,0.2429,8.0,15.6667,16.8622,1.33,1.4167,0.2043,13.0,46.6667,59.1805,8.0,33.0,45.0444,66.7,61.9667,14.013,1.0,3.6667,5.5076,1.0,3.3333,4.9329,4.0,5.0,3.6056,1.0,3.0,3.4641,25.0,26.1,6.7179,1.0,2.0,2.6458,1.0,1.6667,2.0817,0.0,0.3333,0.5774,0.0,0.0,0.0,10.0,10.0,14.1421,10.0,15.8929,19.4238,2.5,5.2143,6.9568,31.3,31.1478,15.3456,1.185,1.1861,1.0012,0.27,0.385,0.3949,0.06,0.0852,0.1084,0.225,0.2332,0.26,61.0,61.5357,23.1908,32.5,38.8214,31.5937,82.0,79.2963,9.3719,3.5,9.0357,11.0503,3.0,5.0,5.0332,22.5,25.0,12.2226,4.0,5.2857,5.5368,1.215,1.0618,0.3811,13.5,17.6429,14.4535,17.0,18.1429,14.4446,-2.0,-0.5,4.3333,-0.07,-0.1596,0.8852,-0.105,-0.2486,1.3055,0.0,0.0,0.0,12.0,13.7857,13.7554,7.0,14.25,17.5196,1.0,2.0,2.9187,6.5,27.6071,45.2338,4.5,9.4286,12.1851,8.5,12.8214,15.1219,N/a,N/a,N/a,N/a,N/a,N/a,0.0,0.1071,0.4163
Sunderland,23.0,20.72,11.1262,15.0,15.8,11.5434,411.0,430.2727,232.9541,15.1,15.748,11.3831,1.0,1.36,1.7531,0.0,0.84,1.5727,1.0,2.2,2.6926,1.0,1.2,1.6583,0.0,0.16,0.6245,0.0,0.2,0.8165,2.0,3.08,2.8856,0.0,0.12,0.3317,0.03,0.0844,0.1106,0.0,0.0312,0.053,0.06,0.1156,0.1261,0.03,0.078,0.1102,0.06,0.1092,0.1209,23.0,23.0,29.6985,1.0,1.0,0.4667,78.0,78.0,93.3381,56.5,56.5,65.7609,77.05,77.05,8.8388,6.0,6.0,5.6569,6.0,6.0,8.4853,6.0,6.0,7.0711,5.5,5.5,6.364,31.8,31.8,2.1213,1.5,1.5,2.1213,1.0,1.0,1.4142,0.5,0.5,0.7071,0.0,0.0,0.0,33.3,33.3,N/a,12.0,14.64,12.3487,4.0,4.84,4.7318,29.3,28.7273,17.8443,0.83,0.956,0.7187,0.28,0.3328,0.3338,0.04,0.0623,0.0658,0.185,0.2283,0.1999,62.0,63.16,20.1777,42.0,43.728,31.6271,82.0,78.48,11.2328,4.0,10.64,11.7221,3.0,4.92,4.8556,20.0,23.1429,15.7775,1.0,4.36,5.6854,1.33,1.326,0.2435,15.0,16.12,12.3062,17.0,20.08,15.1077,-3.0,-3.96,4.5137,-0.28,-0.312,0.4403,-0.04,-0.0912,0.6116,0.0,0.0,0.0,14.0,15.32,11.6573,10.0,15.16,13.8374,1.0,2.12,2.571,10.0,22.76,30.4087,3.0,11.2,13.1276,6.0,13.52,15.311,N/a,N/a,N/a,N/a,N/a,N/a,0.0,0.08,0.2769
Tottenham Hotspur,23.0,21.0385,9.0177,14.0,15.2308,8.5478,559.5,551.25,319.4655,14.85,15.1423,8.2517,1.0,1.7308,2.201,1.0,1.3462,1.5477,2.0,3.0769,3.199,1.0,1.7308,2.201,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.6538,3.0717,0.0,0.1538,0.4641,0.09,0.1277,0.1648,0.055,0.0819,0.095,0.18,0.2096,0.1952,0.09,0.1277,0.1648,0.18,0.2096,0.1952,27.5,27.5,31.8198,1.305,1.305,0.4313,71.0,71.0,84.8528,45.0,45.0,53.7401,63.5,63.5,0.1414,4.5,4.5,3.5355,5.5,5.5,4.9497,8.0,8.0,9.8995,4.0,4.0,4.2426,21.3,21.3,1.8385,1.5,1.5,0.7071,1.5,1.5,0.7071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,15.6154,13.6413,5.0,5.4231,5.0134,34.95,39.4375,22.0013,0.855,1.04,0.6987,0.305,0.4073,0.3412,0.08,0.1138,0.1245,0.27,0.3009,0.2619,63.5,63.0,16.1419,41.25,42.0615,22.9039,82.0,78.5,10.6405,7.5,9.0769,8.602,4.5,5.8077,4.956,22.5,22.7273,6.4082,2.0,4.1923,6.3876,1.03,1.0119,0.3038,18.0,19.3462,11.1245,23.0,23.0,12.01,-4.0,-3.6538,5.2759,-0.28,-0.3496,0.6084,-0.08,-0.0377,0.8774,0.0,0.0385,0.1961,18.5,16.4615,10.8599,12.0,13.3846,10.9511,1.0,2.1923,2.8428,9.5,27.5769,47.9,7.5,11.2308,10.3819,14.5,16.3077,13.308,N/a,N/a,N/a,N/a,N/a,N/a,0.0,0.0,0.0
West Ham United,18.0,17.6897,10.2299,12.0,13.6552,10.3174,180.0,349.8333,297.4338,13.0,13.5931,10.0919,0.0,1.3793,2.2899,0.0,0.931,2.069,1.0,2.3103,3.7806,0.0,1.2759,2.1364,0.0,0.1034,0.4093,0.0,0.1034,0.4093,1.0,2.2414,2.3853,0.0,0.1034,0.3099,0.0,0.0697,0.12,0.0,0.039,0.0661,0.05,0.1083,0.1501,0.0,0.0648,0.115,0.05,0.1031,0.1435,31.0,31.0,8.4853,1.705,1.705,0.2051,89.5,89.5,26.163,61.0,61.0,21.2132,68.3,68.3,2.9698,4.5,4.5,0.7071,4.5,4.5,0.7071,9.0,9.0,2.8284,3.0,3.0,4.2426,18.75,18.75,26.5165,3.5,3.5,3.5355,3.0,3.0,2.8284,0.0,0.0,0.0,0.5,0.5,0.7071,0.0,0.0,0.0,5.0,12.7586,18.1081,1.0,4.3103,6.5416,26.3,23.7833,20.553,0.64,0.8603,0.8076,0.08,0.2421,0.3357,0.0,0.0579,0.0758,0.215,0.2011,0.2015,74.0,62.6897,25.5246,36.1,37.7552,28.0351,84.0,80.1071,11.0297,4.0,9.1034,9.0922,3.0,4.0345,4.6174,19.5,17.8182,8.7811,3.0,5.6552,6.0016,1.0,0.951,0.3796,17.0,15.8621,12.2057,23.0,23.2759,16.2259,-8.0,-7.4138,5.7353,-0.53,-0.7886,0.941,0.06,0.0159,1.4588,0.0,0.0345,0.1857,11.0,13.7241,13.7734,6.0,12.5172,16.2648,1.0,2.1379,3.7486,6.0,20.5517,31.6596,6.0,11.1034,12.4938,9.0,13.0345,13.8577,N/a,N/a,N/a,N/a,N/a,N/a,0.0,0.1034,0.4093
Wolves,21.0,19.9259,8.9181,14.0,14.6667,8.0336,606.0,591.6,303.7514,13.7,14.5815,8.1381,1.0,0.8519,1.0267,1.0,0.6296,0.6877,1.0,1.4815,1.397,0.0,0.7778,1.0127,0.0,0.0741,0.2669,0.0,0.1481,0.456,2.0,2.8519,3.219,0.0,0.1111,0.3203,0.03,0.0548,0.0787,0.03,0.053,0.0846,0.08,0.1089,0.1148,0.0,0.05,0.0776,0.07,0.1037,0.1135,24.0,22.0,14.1067,2.0,2.0,0.33,62.0,54.0,37.6431,39.0,33.3333,24.0069,62.1,59.6,5.0388,0.0,1.0,1.7321,2.0,3.0,2.6458,10.0,8.0,5.2915,0.0,1.3333,2.3094,0.0,6.3333,10.9697,1.0,1.3333,0.5774,1.0,1.3333,0.5774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,12.5926,10.9764,3.0,4.2593,4.1565,33.3,32.8917,21.5825,0.78,0.9274,0.7278,0.24,0.2967,0.2644,0.05,0.0521,0.0755,0.14,0.1838,0.2413,67.0,64.7778,19.3437,38.1,40.5148,22.587,83.0,78.7407,10.2941,7.0,9.0741,8.1379,4.0,5.2593,4.7765,23.0,22.8182,10.1025,4.0,5.2222,5.2134,0.45,0.4444,0.2225,8.0,10.1111,6.7785,27.0,26.7778,13.6052,-17.0,-16.6667,8.2229,-1.19,-1.2941,0.477,-0.23,-0.1107,0.6906,0.0,0.037,0.1925,16.0,17.037,14.7947,9.0,14.2593,14.6171,1.0,1.8148,2.6171,13.0,24.3704,35.0967,7.0,10.3333,10.3738,11.0,14.6667,15.65,N/a,N/a,N/a,N/a,N/a,N/a,0.0,0.1481,0.456
