Player,Nation,Pos,Squad,Age,Playing Time MP,Playing Time Starts,Playing Time Min,Playing Time 90s,Performance Gls,Performance Ast,Performance G+A,Performance G-PK,Performance PK,Performance PKatt,Performance CrdY,Performance CrdR,Per 90 Minutes Gls,Per 90 Minutes Ast,Per 90 Minutes G+A,Per 90 Minutes G-PK,Per 90 Minutes G+A-PK,Performance GA,Performance GA90,Performance SoTA,Performance Saves,Performance Save%,Performance W,Performance D,Performance L,Performance CS,Performance CS%,Penalty Kicks PKatt,Penalty Kicks PKA,Penalty Kicks PKsv,Penalty Kicks PKm,Penalty Kicks Save%,Standard Sh,Standard SoT,Standard SoT%,Standard Sh/90,Standard SoT/90,Standard G/Sh,Standard G/SoT,Playing Time Mn/MP,Playing Time Min%,Starts Mn/Start,Starts Compl,Subs Subs,Subs Mn/Sub,Subs unSub,Team Success PPM,Team Success onG,Team Success onGA,Team Success +/-,Team Success +/-90,Team Success On-Off,Performance 2CrdY,Performance Fls,Performance Fld,Performance Off,Performance Crs,Performance Int,Performance TklW,Performance PKwon,Performance PKcon,Performance OG
Conor Gallagher,ENG,MF,Tottenham Hotspur,26-086,12,10,833,9.3,0,1,1,0,0,0,1,0,0.00,0.11,0.11,0.00,0.11,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,6,2,33.3,0.65,0.22,0.00,0.00,69,27.2,78,2,2,28,0,0.50,8,19,-11,-1.19,-1.23,0,16,19,1,17,15,8,N/a,N/a,0
Cristhian Mosquera,ESP,DF,Arsenal,21-310,17,7,769,8.5,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,1,0,0.0,0.12,0.00,0.00,N/a,45,24.4,71,3,10,28,11,2.00,13,7,+6,+0.70,-0.51,0,13,4,1,1,8,19,N/a,N/a,0
Cristian Romero,ARG,DF,Tottenham Hotspur,28-006,23,22,"1,868",20.8,4,1,5,4,0,0,11,2,0.19,0.05,0.24,0.19,0.24,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,17,6,35.3,0.82,0.29,0.24,0.67,81,61.0,84,15,1,31,0,1.00,26,31,-5,-0.24,+0.14,1,32,16,1,1,31,30,N/a,N/a,0
Crysencio Summerville,NED,"MF,FW",West Ham United,24-185,28,26,"2,200",24.4,5,1,6,5,0,0,5,0,0.20,0.04,0.25,0.20,0.25,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,51,15,29.4,2.09,0.61,0.10,0.33,79,69.8,83,11,2,19,0,1.18,30,38,-8,-0.33,+0.43,0,47,59,6,52,14,22,N/a,N/a,0
Curtis Jones,ENG,"MF,DF",Liverpool,25-093,30,14,"1,577",17.5,0,2,2,0,0,0,1,0,0.00,0.11,0.11,0.00,0.11,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,19,6,31.6,1.08,0.34,0.00,0.00,53,51.5,81,5,16,28,2,1.60,32,29,+3,+0.17,-0.44,0,14,23,0,9,14,18,N/a,N/a,0
Daichi Kamada,JPN,MF,Crystal Palace,29-271,23,18,"1,616",18.0,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,16,4,25.0,0.89,0.22,0.00,0.00,70,54.4,83,6,5,23,0,1.65,28,20,+8,+0.45,+1.18,0,28,22,1,36,11,32,N/a,N/a,0
Dan Burn,ENG,DF,Newcastle United,33-359,26,23,"2,010",22.3,1,2,3,1,0,0,11,1,0.04,0.09,0.13,0.04,0.13,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,10,3,30.0,0.45,0.13,0.10,0.33,77,63.8,86,20,3,12,2,1.19,31,31,0,0.00,+0.32,1,36,12,3,11,18,24,N/a,N/a,0
Dan Ndoye,SUI,MF,Nottingham Forest,25-190,24,14,"1,173",13.0,1,1,2,1,0,0,1,0,0.08,0.08,0.15,0.08,0.15,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,15,4,26.7,1.15,0.31,0.07,0.25,49,38.3,71,3,10,18,4,1.08,15,17,-2,-0.15,-0.06,0,16,22,9,41,10,11,N/a,N/a,0
Dango Ouattara,BFA,MF,Brentford,24-081,29,23,"2,073",23.0,5,3,8,5,0,0,5,0,0.22,0.13,0.35,0.22,0.35,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,48,17,35.4,2.08,0.74,0.10,0.29,71,65.8,84,10,6,25,0,1.31,32,30,+2,+0.09,0.00,0,26,35,8,100,23,13,N/a,N/a,0
Daniel Ballard,NIR,DF,Sunderland,26-223,29,24,"2,149",23.9,2,0,2,2,0,0,4,1,0.08,0.00,0.08,0.08,0.08,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,26,9,34.6,1.09,0.38,0.08,0.22,74,68.2,82,20,5,35,0,1.21,29,34,-5,-0.21,+0.15,0,29,29,3,1,20,17,N/a,N/a,0
Daniel Bentley,ENG,GK,Wolves,32-294,2,2,180,2.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,4,2.00,7,4,57.1,0,1,1,0,0.0,1,1,0,0,0.0,0,0,N/a,0.00,0.00,N/a,N/a,90,5.7,90,2,0,N/a,4,0.50,1,4,-3,-1.50,-0.44,0,0,0,0,0,0,0,N/a,N/a,0
Daniel James,WAL,FW,Leeds United,28-174,16,4,417,4.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,11,3,27.3,2.37,0.65,0.00,0.00,26,13.2,62,0,12,14,4,0.94,0,13,-13,-2.81,-3.07,0,1,7,1,42,1,4,N/a,N/a,0
Daniel Muñoz,COL,MF,Crystal Palace,29-342,24,24,"2,048",22.8,4,2,6,4,0,0,7,0,0.18,0.09,0.26,0.18,0.26,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,23,10,43.5,1.01,0.44,0.17,0.40,85,69.0,85,20,0,N/a,0,1.54,27,24,+3,+0.13,+0.72,0,33,17,6,57,22,39,N/a,N/a,0
Danny Welbeck,ENG,FW,Brighton,35-158,34,23,"2,061",22.9,13,1,14,12,1,3,5,0,0.57,0.04,0.61,0.52,0.57,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,52,25,48.1,2.27,1.09,0.23,0.48,61,65.4,81,7,11,18,0,1.44,31,25,+6,+0.26,+0.01,0,25,8,4,3,8,12,N/a,N/a,0
David Brooks,WAL,MF,Bournemouth,28-299,28,13,"1,164",12.9,1,2,3,1,0,0,7,0,0.08,0.15,0.23,0.08,0.23,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,45,12,26.7,3.48,0.93,0.02,0.08,42,38.0,67,0,15,20,1,1.43,20,19,+1,+0.08,+0.12,0,11,12,2,59,4,11,N/a,N/a,0
David Møller Wolfe,NOR,"MF,DF",Wolves,24-010,19,9,847,9.4,0,2,2,0,0,0,1,0,0.00,0.21,0.21,0.00,0.21,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,3,0,0.0,0.32,0.00,0.00,N/a,45,26.9,80,4,10,13,15,0.47,4,20,-16,-1.70,-0.84,0,7,4,0,27,6,5,N/a,N/a,0
David Raya,ESP,GK,Arsenal,30-230,35,35,"3,150",35.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,26,0.74,83,56,68.7,23,7,5,17,48.6,0,0,0,0,N/a,0,0,N/a,0.00,0.00,N/a,N/a,90,100.0,90,35,0,N/a,0,2.17,67,26,+41,+1.17,N/a,0,0,12,0,1,1,1,N/a,N/a,0
Dean Henderson,ENG,GK,Crystal Palace,29-052,32,32,"2,880",32.0,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,39,1.22,124,89,71.8,11,9,12,11,34.4,5,4,1,0,20.0,0,0,N/a,0.00,0.00,N/a,N/a,90,97.0,90,32,0,N/a,0,1.31,36,39,-3,-0.09,-0.09,0,1,5,0,0,1,0,N/a,N/a,0
Declan Rice,ENG,MF,Arsenal,27-109,34,33,"2,914",32.4,4,5,9,4,0,0,3,0,0.12,0.15,0.28,0.12,0.28,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,40,13,32.5,1.24,0.40,0.10,0.31,86,92.5,88,27,1,23,0,2.15,60,25,+35,+1.08,-0.06,0,26,9,1,165,31,31,N/a,N/a,0
Dennis Cirkin,LVA,DF,Sunderland,24-027,8,3,323,3.6,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,1,0,0.0,0.28,0.00,0.00,N/a,40,10.3,79,2,5,17,8,0.88,2,2,0,0.00,+0.29,0,4,2,0,3,5,5,N/a,N/a,0
Destiny Udogie,ITA,"DF,MF",Tottenham Hotspur,23-156,16,10,"1,008",11.2,0,1,1,0,0,0,3,0,0.00,0.09,0.09,0.00,0.09,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,3,1,33.3,0.27,0.09,0.00,0.00,63,32.9,84,6,6,29,1,0.81,14,21,-7,-0.62,-0.49,0,14,18,3,22,4,14,N/a,N/a,0
Diego Coppola,ITA,DF,Brighton,22-126,5,2,194,2.2,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,0,0,N/a,0.00,0.00,N/a,N/a,39,6.2,88,1,3,6,17,1.60,1,3,-2,-0.93,-1.26,0,4,0,0,0,1,2,N/a,N/a,0
Diego Gómez,PAR,"MF,FW",Brighton,23-037,30,25,"2,036",22.6,5,1,6,5,0,0,9,0,0.22,0.04,0.27,0.22,0.27,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,36,14,38.9,1.59,0.62,0.14,0.36,68,64.6,76,2,5,28,0,1.50,26,25,+1,+0.04,-0.60,0,49,10,1,22,17,48,N/a,N/a,0
Dilane Bakwa,FRA,MF,Nottingham Forest,23-250,11,4,390,4.3,0,1,1,0,0,0,1,0,0.00,0.23,0.23,0.00,0.23,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,8,3,37.5,1.85,0.69,0.00,0.00,35,12.7,61,0,7,21,7,0.64,4,9,-5,-1.15,-1.19,0,9,9,0,30,0,2,N/a,N/a,0
Diogo Dalot,POR,"DF,MF",Manchester Utd,27-046,32,27,"2,434",27.0,1,3,4,1,0,0,5,0,0.04,0.11,0.15,0.04,0.15,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,22,6,27.3,0.81,0.22,0.05,0.17,76,79.5,85,20,5,27,0,1.81,52,36,+16,+0.59,+0.88,0,24,14,4,54,24,28,N/a,N/a,0
Djed Spence,ENG,"DF,MF",Tottenham Hotspur,25-267,26,22,"1,913",21.3,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,12,7,58.3,0.56,0.33,0.00,0.00,74,62.5,83,15,4,23,4,1.12,28,30,-2,-0.09,+0.53,0,24,18,3,45,15,24,N/a,N/a,0
Dominic Calvert-Lewin,ENG,FW,Leeds United,29-048,32,27,"2,473",27.5,12,1,13,9,3,4,2,0,0.44,0.04,0.47,0.33,0.36,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,68,31,45.6,2.47,1.13,0.13,0.29,77,78.5,87,15,5,25,0,1.22,40,32,+8,+0.29,+2.02,0,43,36,22,8,2,4,N/a,N/a,0
Dominic Solanke,ENG,FW,Tottenham Hotspur,28-231,15,11,"1,001",11.1,3,0,3,3,0,0,1,0,0.27,0.00,0.27,0.27,0.27,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,20,11,55.0,1.80,0.99,0.15,0.27,67,32.7,83,7,4,23,0,0.87,11,21,-10,-0.90,-0.90,0,12,9,3,2,3,16,N/a,N/a,0
Dominik Szoboszlai,HUN,"MF,DF",Liverpool,25-190,32,32,"2,871",31.9,5,4,9,5,0,1,8,1,0.16,0.13,0.28,0.16,0.28,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,63,19,30.2,1.97,0.60,0.08,0.26,90,93.8,90,30,0,N/a,0,1.63,54,42,+12,+0.38,-0.10,0,33,27,2,174,26,31,N/a,N/a,0
Donyell Malen,NED,"FW,MF",Aston Villa,27-114,21,5,656,7.3,4,1,5,4,0,0,0,0,0.55,0.14,0.69,0.55,0.69,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,27,9,33.3,3.70,1.23,0.15,0.44,31,21.4,71,0,16,19,0,2.05,11,10,+1,+0.14,-0.01,0,2,6,1,7,0,2,N/a,N/a,0
Douglas Luiz,BRA,MF,Aston Villa,27-359,10,6,520,5.8,1,0,1,1,0,0,1,0,0.17,0.00,0.17,0.17,0.17,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,5,3,60.0,0.87,0.52,0.20,0.33,52,17.0,76,1,4,16,1,0.90,3,6,-3,-0.52,-0.80,0,9,9,0,27,5,9,N/a,N/a,0
Dwight McNeil,ENG,MF,Everton,26-162,21,14,"1,165",12.9,0,1,1,0,0,0,1,0,0.00,0.08,0.08,0.00,0.08,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,24,5,20.8,1.85,0.39,0.00,0.00,55,38.1,76,3,7,14,11,1.52,14,8,+6,+0.46,+0.75,0,11,7,2,40,10,16,N/a,N/a,0
Eberechi Eze,ENG,"MF,FW",Arsenal,27-308,29,19,"1,658",18.4,7,2,9,7,0,0,1,0,0.38,0.11,0.49,0.38,0.49,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,50,15,30.0,2.71,0.81,0.14,0.47,57,52.6,74,5,10,25,4,2.00,36,13,+23,+1.25,+0.34,0,14,33,1,8,10,12,N/a,N/a,0
Eddie Nketiah,ENG,MF,Crystal Palace,26-338,12,2,424,4.7,2,0,2,2,0,0,2,0,0.42,0.00,0.42,0.42,0.42,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,15,6,40.0,3.18,1.27,0.13,0.33,35,14.3,70,0,10,28,0,1.33,6,12,-6,-1.27,-1.38,0,7,7,3,0,2,6,N/a,N/a,0
El Hadji Malick Diouf,SEN,"DF,MF",West Ham United,21-126,29,27,"2,437",27.1,0,5,5,0,0,0,5,0,0.00,0.18,0.18,0.00,0.18,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,17,3,17.6,0.63,0.11,0.00,0.00,84,77.4,88,21,2,33,0,1.10,34,43,-9,-0.33,+0.55,0,26,22,2,91,29,19,N/a,N/a,0
Eli Junior Kroupi,FRA,"MF,FW",Bournemouth,19-314,29,17,"1,378",15.3,11,0,11,10,1,1,5,0,0.72,0.00,0.72,0.65,0.65,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,39,18,46.2,2.55,1.18,0.26,0.56,48,45.0,70,0,12,16,5,1.38,26,20,+6,+0.39,+0.71,0,20,10,4,9,8,6,N/a,N/a,0
Eliezer Mayenda,ESP,"FW,MF",Sunderland,20-360,19,8,758,8.4,2,0,2,2,0,0,0,0,0.24,0.00,0.24,0.24,0.24,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,13,6,46.2,1.54,0.71,0.15,0.33,40,24.1,74,1,11,15,16,1.26,8,9,-1,-0.12,+0.18,0,6,11,3,1,1,3,N/a,N/a,0
Elliot Anderson,ENG,MF,Nottingham Forest,23-178,34,34,"3,042",33.8,3,2,5,2,1,1,7,0,0.09,0.06,0.15,0.06,0.12,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,40,9,22.5,1.18,0.27,0.05,0.22,89,99.4,89,31,0,N/a,0,1.15,41,44,-3,-0.09,+4.91,0,52,73,2,166,38,56,N/a,N/a,0
Emi Buendía,ARG,MF,Aston Villa,29-129,32,19,"1,558",17.3,5,2,7,5,0,0,6,0,0.29,0.12,0.40,0.29,0.40,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,44,10,22.7,2.54,0.58,0.11,0.50,49,50.9,66,2,13,24,1,1.78,15,22,-7,-0.40,-1.12,0,37,37,1,9,9,21,N/a,N/a,0
Emile Smith Rowe,ENG,MF,Fulham,25-279,34,19,"1,729",19.2,3,0,3,3,0,0,1,0,0.16,0.00,0.16,0.16,0.16,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,33,9,27.3,1.72,0.47,0.09,0.33,51,54.9,74,1,15,21,0,1.38,25,27,-2,-0.10,-0.10,0,8,12,3,11,22,17,N/a,N/a,0
Emiliano Martínez,ARG,GK,Aston Villa,33-243,29,29,"2,565",28.5,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,33,1.16,117,85,71.8,15,5,9,8,27.6,1,0,1,0,100.0,0,0,N/a,0.00,0.00,N/a,N/a,88,83.8,88,28,0,N/a,0,1.72,39,33,+6,+0.21,+0.39,0,0,17,0,0,0,0,N/a,N/a,0
Emmanuel Agbadou,CIV,DF,Wolves,28-320,14,12,"1,101",12.2,0,0,0,0,0,0,1,1,0.00,0.00,0.00,0.00,0.00,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,10,3,30.0,0.82,0.25,0.00,0.00,79,35.0,85,11,2,38,4,0.14,6,27,-21,-1.72,-0.97,0,10,5,1,13,14,21,N/a,N/a,0
Enes Ünal,TUR,FW,Bournemouth,28-358,19,0,189,2.1,1,0,1,1,0,0,1,0,0.48,0.00,0.48,0.48,0.48,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,12,2,16.7,5.71,0.95,0.08,0.50,10,6.2,N/a,0,19,10,4,1.58,8,2,+6,+2.86,+3.05,0,6,5,1,2,0,1,N/a,N/a,0
Enzo Fernández,ARG,MF,Chelsea,25-106,32,31,"2,755",30.6,8,3,11,6,2,2,8,0,0.26,0.10,0.36,0.20,0.29,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,63,28,44.4,2.06,0.91,0.10,0.21,86,90.0,88,24,1,37,0,1.41,48,39,+9,+0.29,+0.59,0,30,40,1,71,19,23,N/a,N/a,0
Enzo Le Fée,FRA,"MF,FW",Sunderland,26-089,33,30,"2,661",29.6,4,5,9,1,3,4,5,0,0.14,0.17,0.30,0.03,0.20,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,29,9,31.0,0.98,0.30,0.03,0.11,81,84.5,87,23,3,16,0,1.39,32,41,-9,-0.30,-0.30,0,28,33,4,85,26,51,N/a,N/a,0
Erling Haaland,NOR,FW,Manchester City,25-286,32,31,"2,683",29.8,24,7,31,21,3,4,2,0,0.81,0.23,1.04,0.70,0.94,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,116,53,45.7,3.89,1.78,0.18,0.40,84,90.3,86,23,1,18,0,2.09,62,28,+34,+1.14,+0.20,0,22,24,4,3,4,7,N/a,N/a,0
Estêvão Willian,BRA,MF,Chelsea,19-009,22,12,848,9.4,2,2,4,2,0,0,4,0,0.21,0.21,0.42,0.21,0.42,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,28,8,28.6,2.97,0.85,0.07,0.25,39,27.7,54,0,10,20,3,1.36,19,11,+8,+0.85,+0.85,0,12,9,6,16,4,6,N/a,N/a,0
Ethan Ampadu,WAL,MF,Leeds United,25-231,32,32,"2,849",31.7,1,1,2,1,0,0,9,0,0.03,0.03,0.06,0.03,0.06,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,26,6,23.1,0.82,0.19,0.04,0.17,89,90.4,89,28,0,N/a,0,1.28,43,45,-2,-0.06,+0.83,0,45,33,0,24,47,43,N/a,N/a,0
Ethan Nwaneri,ENG,MF,Arsenal,19-043,6,0,171,1.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,6,0,0.0,3.16,0.00,0.00,N/a,29,5.4,N/a,0,6,29,11,2.67,8,0,+8,+4.21,+3.30,0,2,0,0,2,0,0,N/a,N/a,0
Ethan Pinnock,JAM,DF,Brentford,32-339,4,4,318,3.5,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,1,1,100.0,0.28,0.28,0.00,0.00,80,10.1,80,1,0,N/a,29,0.50,2,5,-3,-0.85,-1.04,0,0,2,0,0,5,5,N/a,N/a,1
Evanilson,BRA,FW,Bournemouth,26-209,32,28,"2,461",27.3,6,1,7,6,0,0,2,0,0.22,0.04,0.26,0.22,0.26,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,65,23,35.4,2.38,0.84,0.09,0.26,77,80.4,83,9,4,36,0,1.41,38,39,-1,-0.04,-0.19,0,23,29,26,3,3,4,N/a,N/a,0
Evann Guessand,CIV,MF,Aston Villa,24-306,13,6,588,6.5,0,1,1,0,0,0,0,0,0.00,0.15,0.15,0.00,0.15,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,8,5,62.5,1.22,0.77,0.00,0.00,45,19.2,67,0,7,27,5,1.77,9,10,-1,-0.15,-0.37,0,11,12,0,10,3,9,N/a,N/a,0
Ezra Mayers,BRB,DF,West Ham United,19-107,6,0,117,1.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,1,0,0.0,0.77,0.00,0.00,N/a,20,3.7,N/a,0,6,20,8,0.33,0,3,-3,-2.31,-1.92,0,0,0,0,3,1,0,N/a,N/a,0
Ezri Konsa,ENG,DF,Aston Villa,28-192,32,32,"2,855",31.7,0,0,0,0,0,0,0,1,0.00,0.00,0.00,0.00,0.00,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,11,2,18.2,0.35,0.06,0.00,0.00,89,93.3,89,31,0,N/a,1,1.78,46,40,+6,+0.19,+0.63,0,11,35,0,5,22,7,N/a,N/a,0
Fabian Schär,SUI,DF,Newcastle United,34-134,16,11,"1,091",12.1,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,17,4,23.5,1.40,0.33,0.00,0.00,68,34.6,88,9,5,25,3,1.75,16,13,+3,+0.25,+0.55,0,15,7,1,4,16,9,N/a,N/a,0
Fabio Carvalho,POR,MF,Brentford,23-246,6,1,102,1.1,1,0,1,1,0,0,0,0,0.88,0.00,0.88,0.88,0.88,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,2,1,50.0,1.76,0.88,0.50,1.00,17,3.2,90,1,5,2,4,0.17,2,4,-2,-1.76,-1.91,0,0,0,0,5,0,2,N/a,N/a,0
Federico Chiesa,ITA,MF,Liverpool,28-190,23,1,296,3.3,2,1,3,2,0,0,3,0,0.61,0.30,0.91,0.61,0.91,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,16,4,25.0,4.86,1.22,0.13,0.50,13,9.7,60,0,22,11,9,1.52,14,7,+7,+2.13,+1.93,0,9,5,2,14,4,5,N/a,N/a,0
Fer López,ESP,MF,Wolves,21-344,9,2,235,2.6,0,1,1,0,0,0,1,0,0.00,0.38,0.38,0.00,0.38,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,5,1,20.0,1.91,0.38,0.00,0.00,26,7.5,55,0,7,18,11,0.11,3,9,-6,-2.30,-1.31,0,6,4,0,4,0,1,N/a,N/a,0
Ferdi Kadioglu,TUR,"DF,MF",Brighton,26-208,34,31,"2,863",31.8,1,0,1,1,0,0,6,0,0.03,0.00,0.03,0.03,0.03,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,26,12,46.2,0.82,0.38,0.04,0.08,84,90.9,89,27,3,38,1,1.38,43,37,+6,+0.19,-0.75,0,19,35,6,103,23,38,N/a,N/a,0
Filip Jørgensen,DEN,GK,Chelsea,24-017,3,2,264,2.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,4,1.36,10,6,60.0,1,1,0,0,0.0,0,0,0,0,N/a,0,0,N/a,0.00,0.00,N/a,N/a,88,8.6,90,2,1,84,21,1.33,6,4,+2,+0.68,+0.49,0,0,0,0,0,1,0,N/a,N/a,0
Florentino Luís,POR,MF,Burnley,26-257,28,22,"1,852",20.6,0,2,2,0,0,0,6,0,0.00,0.10,0.10,0.00,0.10,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,10,1,10.0,0.49,0.05,0.00,0.00,66,58.8,79,8,6,20,4,0.50,17,41,-24,-1.17,-0.33,0,38,8,1,9,33,43,N/a,N/a,0
