Player,Nation,Pos,Squad,Age,Playing Time MP,Playing Time Starts,Playing Time Min,Playing Time 90s,Performance Gls,Performance Ast,Performance G+A,Performance G-PK,Performance PK,Performance PKatt,Performance CrdY,Performance CrdR,Per 90 Minutes Gls,Per 90 Minutes Ast,Per 90 Minutes G+A,Per 90 Minutes G-PK,Per 90 Minutes G+A-PK,Performance GA,Performance GA90,Performance SoTA,Performance Saves,Performance Save%,Performance W,Performance D,Performance L,Performance CS,Performance CS%,Penalty Kicks PKatt,Penalty Kicks PKA,Penalty Kicks PKsv,Penalty Kicks PKm,Penalty Kicks Save%,Standard Sh,Standard SoT,Standard SoT%,Standard Sh/90,Standard SoT/90,Standard G/Sh,Standard G/SoT,Playing Time Mn/MP,Playing Time Min%,Starts Mn/Start,Starts Compl,Subs Subs,Subs Mn/Sub,Subs unSub,Team Success PPM,Team Success onG,Team Success onGA,Team Success +/-,Team Success +/-90,Team Success On-Off,Performance 2CrdY,Performance Fls,Performance Fld,Performance Off,Performance Crs,Performance Int,Performance TklW,Performance PKwon,Performance PKcon,Performance OG
Bernd Leno,GER,GK,Fulham,34-060,35,35,"3,150",35.0,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,49,1.40,137,91,66.4,14,6,15,8,22.9,4,3,0,1,0.0,0,0,N/a,0.00,0.00,N/a,N/a,90,100.0,90,35,0,N/a,0,1.37,44,49,-5,-0.14,N/a,0,0,6,0,0,1,1,N/a,N/a,1
Bertrand Traoré,BFA,"MF,FW",Sunderland,30-239,12,9,632,7.0,1,0,1,1,0,0,1,0,0.14,0.00,0.14,0.14,0.14,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,12,6,50.0,1.71,0.85,0.08,0.17,53,20.1,64,0,3,19,3,1.75,7,9,-2,-0.28,-0.03,0,11,12,1,13,2,4,N/a,N/a,0
Beto,GNB,FW,Everton,28-092,33,14,"1,357",15.1,8,1,9,8,0,0,2,0,0.53,0.07,0.60,0.53,0.60,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,38,16,42.1,2.52,1.06,0.21,0.50,41,44.3,72,1,19,18,0,1.42,22,16,+6,+0.40,+0.72,0,29,11,8,2,1,5,N/a,N/a,0
Borna Sosa,CRO,"DF,MF",Crystal Palace,28-102,7,0,101,1.1,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,1,0,0.0,0.89,0.00,0.00,N/a,14,3.4,N/a,0,7,14,23,0.71,3,2,+1,+0.89,+1.02,0,4,0,0,6,2,0,N/a,N/a,0
Boubacar Kamara,FRA,MF,Aston Villa,26-161,18,17,"1,411",15.7,1,3,4,1,0,0,5,0,0.06,0.19,0.26,0.06,0.26,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,7,4,57.1,0.45,0.26,0.14,0.25,78,46.1,82,9,1,19,0,2.33,26,15,+11,+0.70,+1.03,0,16,30,0,2,15,16,N/a,N/a,0
Brajan Gruda,GER,MF,Brighton,21-337,18,8,719,8.0,1,1,2,1,0,0,2,0,0.13,0.13,0.25,0.13,0.25,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,16,6,37.5,2.00,0.75,0.06,0.17,40,22.8,69,0,10,17,1,1.28,14,11,+3,+0.38,+0.15,0,11,14,2,14,2,5,N/a,N/a,0
Brenden Aaronson,USA,"MF,FW",Leeds United,25-193,34,27,"2,239",24.9,4,5,9,4,0,0,2,0,0.16,0.20,0.36,0.16,0.36,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,43,16,37.2,1.73,0.64,0.09,0.25,66,71.1,78,2,7,21,1,1.18,35,28,+7,+0.28,+1.47,0,19,48,5,36,17,23,N/a,N/a,0
Brennan Johnson,WAL,"MF,FW",Tottenham Hotspur,24-345,16,6,610,6.8,2,0,2,2,0,0,2,0,0.30,0.00,0.30,0.30,0.30,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,6,2,33.3,0.89,0.30,0.33,1.00,38,19.9,77,1,10,15,2,1.38,13,5,+8,+1.18,+1.84,0,2,4,8,23,2,9,N/a,N/a,0
Brian Brobbey,NED,FW,Sunderland,24-091,28,19,"1,701",18.9,6,1,7,6,0,0,6,0,0.32,0.05,0.37,0.32,0.37,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,28,14,50.0,1.48,0.74,0.21,0.43,61,54.0,79,5,9,22,2,1.18,17,28,-11,-0.58,-0.71,0,27,33,8,2,0,2,N/a,N/a,0
Bruno Fernandes,POR,MF,Manchester Utd,31-237,31,31,"2,704",30.0,8,19,27,4,4,6,4,0,0.27,0.63,0.90,0.13,0.77,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,75,21,28.0,2.50,0.70,0.05,0.19,87,88.4,87,26,0,N/a,0,1.81,57,42,+15,+0.50,+0.75,0,21,34,4,159,17,32,N/a,N/a,0
